title,genres,director_cast,average_rating,description,cover_url
怦然心动,剧情|喜剧|爱情,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
蝙蝠侠：黑暗骑士,剧情|动作|科幻|犯罪|惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,9.2,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,剧情|动作|奇幻|冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.3,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
我不是药神,剧情|喜剧,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2527119568.jpg
乱世佳人,剧情|历史|爱情|战争,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,9.3,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
飞屋环游记,剧情|喜剧|动画|冒险,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg
让子弹飞,剧情|喜剧|动作|西部,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,9.0,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
哈尔的移动城堡,爱情|动画|奇幻|冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.1,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg
十二怒汉,剧情,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...,9.4,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
海蒂和爷爷,剧情|冒险|家庭,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
素媛,剧情,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
猫鼠游戏,传记|犯罪|剧情,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,9.1,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
天空之城,动画|奇幻|冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,9.2,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg
鬼子来了,剧情|喜剧,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,9.3,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p776573640.jpg
摔跤吧！爸爸,剧情|传记|运动|家庭,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,9.0,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
少年派的奇幻漂流,剧情|奇幻|冒险,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,9.1,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
钢琴家,剧情|传记|战争|音乐,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,9.3,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg
指环王2：双塔奇兵,剧情|动作|奇幻|冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.2,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
死亡诗社,剧情,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.2,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
大话西游之月光宝盒,喜剧|爱情|奇幻|古装,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.0,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
绿皮书,剧情|喜剧|传记|音乐,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,8.9,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg
何以为家,剧情,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2875749222.jpg
闻香识女人,剧情,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
大闹天宫,剧情|动画|奇幻|古装,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,9.4,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
黑客帝国,动作|科幻,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
指环王1：护戒使者,剧情|动作|奇幻|冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.1,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg
罗马假日,喜剧|剧情|爱情,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,9.1,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
教父2,剧情|犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,9.3,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
狮子王,动画|冒险|歌舞,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
天堂电影院,剧情|爱情,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...,9.2,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
饮食男女,剧情|家庭,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,9.2,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
辩护人,剧情,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,9.2,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
本杰明·巴顿奇事,剧情|爱情|奇幻,导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布...,9.0,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
搏击俱乐部,剧情|动作|悬疑|惊悚,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg
美丽心灵,传记|剧情,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
穿条纹睡衣的男孩,剧情|战争,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,9.2,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
情书,剧情|爱情,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.9,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
哈利·波特与死亡圣器(下),奇幻|冒险,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,9.0,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.jpg
两杆大烟枪,剧情|喜剧|犯罪,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
窃听风暴,剧情|悬疑,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,9.2,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
音乐之声,剧情|传记|爱情|歌舞,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
功夫,动作|喜剧|犯罪|奇幻,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,8.9,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
哈利·波特与阿兹卡班的囚徒,奇幻|冒险,导演: 阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...,9.0,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.jpg
西西里的美丽传说,剧情|战争|情色,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,8.9,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
阿凡达,动作|科幻|冒险,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,8.8,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
看不见的客人,剧情|犯罪|悬疑|惊悚,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
拯救大兵瑞恩,剧情|战争,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,9.1,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
沉默的羔羊,剧情|犯罪|惊悚,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,8.9,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
小鞋子,剧情|儿童|家庭,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...,9.2,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
布达佩斯大饭店,剧情|喜剧|冒险,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,8.9,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg
蝴蝶效应,剧情|悬疑|科幻|惊悚,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,8.9,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
飞越疯人院,剧情,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
禁闭岛,剧情|悬疑|惊悚,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,8.9,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
还有明天,剧情|喜剧|历史,导演: 宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...,9.3,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg
心灵捕手,剧情,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,9.0,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
致命魔术,剧情|悬疑|惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
低俗小说,剧情|喜剧|犯罪,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,8.9,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
超脱,剧情,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,9.0,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
哈利·波特与密室,奇幻|冒险,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,8.9,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg
